Identifier	Change_name	Change_type	Species	Gender	Age_start	Age_end	Description	Tissues	Gene	Properties	Type_of_data	Process_measured	Sample_size	Method_of_collection	Data_transforms	Percentage_change	P_value	Coefficiant	Intercept	Relationship_parent_identifiers	References
DAA581	polymerase (DNA-directed), delta interacting protein 3	molecular	Homo sapiens	male/female	22	73		Skeletal Muscle	POLDIP3 (polymerase (DNA-directed), delta interacting protein 3)		equation	Gene Expression Level	0	Microarray	Log	5.0	0.0005812776182189960000000				2823: Welle et al. (2002) "Computational method for reducing variance with Affymetrix microarrays."  BMC Bioinformatics 3:23 (12204100)
DAA1700	polymerase (RNA) II (DNA directed) polypeptide B	molecular	Mus musculus	male/female	2	26		Lung	Polr2b (polymerase (RNA) II (DNA directed) polypeptide B)		equation	Gene Expression Level	20	Microarray	Log2	-2.0	0.0005478251456950220000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA2075	poly(rC) binding protein 1 increases with age	molecular	Homo sapiens	female	-1	-1	Gene expression showed a significant (p<E-3) increase in the expression of PCBP1 in oocytes donated from older women (aged 37-39 years - both inclusive) compared to oocytes from younger women (aged 25-35 years)	Ovary	PCBP1 (poly(rC) binding protein 1)			Gene Expression Level	None	None	None	59.0	0.0059200000000000000000000				2714: Grøndahl et al. (2010) "Gene expression profiles of single human mature oocytes in relation to age."  Hum. Reprod. 25(4):957-968 (20147335)
DAA707	Possible alterations in pacemaker activity	physiological	Homo sapiens	male/female	-1	-1		Heart												DAA706	2832: Kaldor, G. (1978) "Aging in Muscle (Aging Series)" 
DAA1952	Possible blunting of growth hormone secretion increase in response to multiple stimuli	physiological	Mus musculus	male/female	-1	-1	Possible blunting of growth hormone secretion increase in response to stimuli (including stress, surgical trauma, exercise, arginine stimulation, sleep).	Endocrine System													143: Bartke et al. (2001) "Genes that prolong life: relationships of growth hormone and growth to aging and life span."  J. Gerontol. A Biol. Sci. Med. Sci. 56(8):B340-B349 (11487592)
DAA844	Postprandial serum bile acids decrease	physiological	Homo sapiens	male/female	-1	-1	Postprandial serum bile acids decrease with age.	Alimentary System													2902: Arora et al. (1989) "Effect of age on tests of intestinal and hepatic function in healthy humans."  Gastroenterology 96(6):1560-1565 (2714580)|2994: Meier and Sturm (2009) "The intestinal epithelial barrier: does it become impaired with age?"  Dig Dis 27(3):240-245 (19786747)
DAA1653	potassium channel tetramerisation domain containing 3	molecular	Mus musculus	male/female	2	26		Lung	Kctd3 (potassium channel tetramerisation domain containing 3)		equation	Gene Expression Level	20	Microarray	Log2	-4.0	0.0006045346812544760000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA114	potassium inwardly-rectifying channel, subfamily J, member 9	molecular	Homo sapiens	male/female	26	106		Brain	KCNJ9 (potassium inwardly-rectifying channel, subfamily J, member 9)		equation	Gene Expression Level	0	Microarray	Log	-27.0	0.0001328856288136210000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA1780	potassium voltage-gated channel, shaker-related subfamily, beta member 1	molecular	Mus musculus	male/female	8	24		Muscle	Kcnab1 (potassium voltage-gated channel, shaker-related subfamily, beta member 1)		equation	Gene Expression Level	20	Microarray	Log2	7.0	0.0000319557980892147000000				2651: Beggs et al. (2004) "Alterations in the TGFbeta signaling pathway in myogenic progenitors with age."  Aging Cell 3(6):353-361 (15569352)
DAA454	potassium voltage-gated channel, subfamily G, member 2	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	KCNG2 (potassium voltage-gated channel, subfamily G, member 2)		equation	Gene Expression Level	0	Microarray	Log	-10.0	0.0008358718309830170000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA181	POU class 6 homeobox 1	molecular	Homo sapiens	male/female	26	106		Brain	POU6F1 (POU class 6 homeobox 1)		equation	Gene Expression Level	0	Microarray	Log	-4.0	0.0005845068974452060000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA1594	PRAME family member 8	molecular	Mus musculus	male/female	2	26		Lung	Pramef8 (PRAME family member 8)		equation	Gene Expression Level	20	Microarray	Log2	2.0	0.0008614703685052800000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA1523	pre B-cell leukemia transcription factor 2	molecular	Mus musculus	male/female	6	22		Liver	Pbx2 (pre B-cell leukemia transcription factor 2)		equation	Gene Expression Level	20	Microarray	Log2	28.0	0.0008983007347707340000000				1334: Papaconstantinou et al. (2005) "Hepatic gene and protein expression of primary components of the IGF-I axis in long lived Snell dwarf mice."  Mech. Ageing Dev. 126(6-7):692-704 (15888324)|2981: NCBI GEO Dataset (2005) "Age effect on livers of long-lived Snell dwarf mutants"  (http://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2019)
DAA1621	predicted gene 11346	molecular	Mus musculus	male/female	2	26		Lung	Gm11346 (predicted gene 11346)		equation	Gene Expression Level	20	Microarray	Log2	55.0	0.0000715864633448466000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA1257	predicted gene 885	molecular	Mus musculus	male/female	5	22		Brain	Gm885 (predicted gene 885)		equation	Gene Expression Level	20	Microarray	Log2	674.0	0.0008193586357557250000000				2765: Godbout et al. (2005) "Exaggerated neuroinflammation and sickness behavior in aged mice following activation of the peripheral innate immune system."  FASEB J. 19(10):1329-1331 (15919760)|2833: NCBI GEO Dataset (2005) "Age effect on lipopolysaccharide-induced neuroinflammation and sickness behavior"  (http://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS1311)
DAA779	Prefrontal cortex activation during learning is reduced	physiological	Homo sapiens	male/female	-1	-1	Sustained activity in right dorsolateral prefrontal cortex lower in older vs. younger adults during semantic encoding task.	Brain													2803: Grady (2008) "Cognitive neuroscience of aging."  Ann. N. Y. Acad. Sci. 1124:127-144 (18400928)
DAA1075	Presbycusis	pathological	Homo sapiens	male/female	73	84	Presbycusis is age-associated sensorineural hearing loss. Sensorineural hearing loss refers to dysfunction occurring in the inner ear, cochlea, or auditory nerve. This is contrast to conductive hearing loss, which refers to deficits in external sounds getting to the inner ear. One study of Medicare recipients aged 73 to 84 found hearing loss in 60%, and high-frequency hearing loss in 77%. Presbycusis is typically bilateral.	Cochlea													2905: Weber, P. C. (2010) "Etiology of hearing loss in adults"  (http://www.uptodateonline.com)
DAA1007	Pre-wrinkles	physiological	Homo sapiens	male/female	-1	-1		Skin													2932: Contet-Audonneau et al. (1999) "A histological study of human wrinkle structures: comparison between sun-exposed areas of the face, with or without wrinkles, and sun-protected areas."  Br. J. Dermatol. 140(6):1038-1047 (10354068)
DAA457	prion protein	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	PRNP (prion protein)		equation	Gene Expression Level	0	Microarray	Log	3.0	0.0000139696550577548000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA935	Pro-B cell generation and differentiation declines	physiological	Homo sapiens	male/female	-1	-1	With ageing pro-B cell generation and differentiation declines.
	Bone Marrow, B Cell												DAA934	2718: Weiskopf et al. (2009) "The aging of the immune system."  Transpl. Int. 22(11):1041-1050 (19624493)|2943: Cancro (2005) "B cells and aging: gauging the interplay of generative, selective, and homeostatic events."  Immunol. Rev. 205:48-59 (15882344)
DAA179	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	molecular	Homo sapiens	male/female	26	106		Brain	PLOD2 (procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2)		equation	Gene Expression Level	0	Microarray	Log	24.0	0.0005538049520134640000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA172	profilin 2	molecular	Homo sapiens	male/female	26	106		Brain	PFN2 (profilin 2)		equation	Gene Expression Level	0	Microarray	Log	-4.0	0.0005149036337699100000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA1420	programmed cell death 4	molecular	Mus musculus	male/female	2	15		Hippocampus	Pdcd4 (programmed cell death 4)		equation	Gene Expression Level	20	Microarray	Log2	2.0	0.0002377412849187220000000				2706: Verbitsky et al. (2004) "Altered hippocampal transcript profile accompanies an age-related spatial memory deficit in mice."  Learn. Mem. 11(3):253-260 (15169854)
DAA125	programmed cell death 4 (neoplastic transformation inhibitor)	molecular	Homo sapiens	male/female	26	106		Brain	PDCD4 (programmed cell death 4 (neoplastic transformation inhibitor))		equation	Gene Expression Level	0	Microarray	Log	12.0	0.0004004944510999560000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA1393	progressive ankylosis	molecular	Mus musculus	male/female	2	15		Hippocampus	Ank (progressive ankylosis)		equation	Gene Expression Level	20	Microarray	Log2	1.0	0.0007354783639989690000000				2706: Verbitsky et al. (2004) "Altered hippocampal transcript profile accompanies an age-related spatial memory deficit in mice."  Learn. Mem. 11(3):253-260 (15169854)
DAA1076	Progressive liquefaction	physiological	Homo sapiens	male/female	-1	-1	The vitreous humor is a transparent gel of mostly extracellular matrix. With age the gel-like consistency is lost, which is associated with a reduction in shock-absorbing capabilities of the matrix and predisposition to posterior vitreous detachment. Posterior vitreous detachment is a condition where the cortex (outer part) of the vitreous humor detaches from the inner layer of the retina (the inner limiting lamina). Liquefaction is part of a process called synchysis, defined by Stedman's Medical Dictionary as the collapse of the collagenous framework of the vitreous humor with liquefaction of the vitreous body.	Vitreous Humor													2730: Myron Yanoff and Jay S. Duker (1999) "Ophthalmology" |2762: Bishop et al. (2004) "Age-related changes on the surface of vitreous collagen fibrils."  Invest. Ophthalmol. Vis. Sci. 45(4):1041-1046 (15037566)
DAA1808	prohibitin	molecular	Mus musculus	male/female	8	24		Muscle	Phb (prohibitin)		equation	Gene Expression Level	20	Microarray	Log2	-5.0	0.0003944800910381260000000				2651: Beggs et al. (2004) "Alterations in the TGFbeta signaling pathway in myogenic progenitors with age."  Aging Cell 3(6):353-361 (15569352)
DAA2022	Prolactin decreases in females	physiological	Homo sapiens	female	-1	-1	Prolactin levels decrease during ageing in females.	Plasma													2662: Vekemans and Robyn (1975) "Influence of age on serum prolactin levels in women and men."  Br Med J 4(5999):738-739 (1212585)
DAA920	Prolactin increases in males	physiological	Homo sapiens	male/female	-1	-1	Prolactin levels increase slightly during ageing in males.	Plasma													2662: Vekemans and Robyn (1975) "Influence of age on serum prolactin levels in women and men."  Br Med J 4(5999):738-739 (1212585)|2995:  (2007) "Physiological Basis of Aging and Geriatrics, Fourth Edition" 149
DAA956	Proliferation is reduced	physiological	Homo sapiens	male	-1	-1	Old age creates an environment in which lymphocyte proliferation is reduced, in part  because there are fewer T cell progenitors and less IL-7 produced by stromal cells.	Lymphocytes													2972: Sharma et al. (2009) "The aging immune system and its relationship to the development of chronic obstructive pulmonary disease."  Proc Am Thorac Soc 6(7):573-580 (19934352)
DAA676	Proliferation rate of mesenchymal stem cells is reduced	physiological	Homo sapiens	male/female	-1	-1	Isolated mesenchymal stem cells exhibited a reduced proliferation rate in vitro with age, measured as cell doubling time and cell number over culturing days 2-10. Age correlation for doubling time was assessed via comparing subjects over age 55 vs. subjects under age 50. The cell cycle state was examined via flow cytometry and no age-associated changes were found for time spent in the different cell cycle phases, suggesting prolongation of all stages of the cell cycle.	Mesenchymal Stem Cell													2891: Zhou et al. (2008) "Age-related intrinsic changes in human bone-marrow-derived mesenchymal stem cells and their differentiation to osteoblasts."  Aging Cell 7(3):335-343 (18248663)
DAA1629	proline dehydrogenase	molecular	Mus musculus	male/female	2	26		Lung	Prodh (proline dehydrogenase)		equation	Gene Expression Level	20	Microarray	Log2	5.0	0.0009429779581520140000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA763	Prolongation of calcium signals in nerve cells	physiological	Homo sapiens	male	-1	-1	As a result of progressive downregulation of calcium clearance processes (itself a product of dysfunction of calcium pumping activity or mitochondrial calcium buffering) calcium signalling is substantially prolonged in aged neurons, a result shown consistently in several studies.	Brain													2672: Toescu and Verkhratsky (2007) "The importance of being subtle: small changes in calcium homeostasis control cognitive decline in normal aging."  Aging Cell 6(3):267-273 (17517038)
DAA1597	pro-platelet basic protein	molecular	Mus musculus	male/female	2	26		Lung	Ppbp (pro-platelet basic protein)		equation	Gene Expression Level	20	Microarray	Log2	11.0	0.0006131970909915340000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA1342	pro-platelet basic protein	molecular	Mus musculus	male/female	3	23		Hematological System	Ppbp (pro-platelet basic protein)		equation	Gene Expression Level	20	Microarray	Log2	-27.0	0.0008554487808057120000000				2882: Rossi et al. (2005) "Cell intrinsic alterations underlie hematopoietic stem cell aging."  Proc. Natl. Acad. Sci. U.S.A. 102(26):9194-9199 (15967997)
DAA677	Proportion of apoptotic cells may be increased	physiological	Homo sapiens	male/female	-1	-1	The proportion of cells that were found to be apoptotic increased from ~0.2% to ~1%. However, the sample size was small (10 subjects), and only one subject was included under the age of 45 years (age 20). Most of the subjects over the age of 45 years had proportions at 1%. Furthermore, there might be a significant possibiliy that cell extraction could obfuscate the relevance of these results to the in vivo state. Up-regulation of the p53 pathway was also observed in the older subjects (small sample pool).	Mesenchymal Stem Cell	TP53 (tumor protein p53)												2891: Zhou et al. (2008) "Age-related intrinsic changes in human bone-marrow-derived mesenchymal stem cells and their differentiation to osteoblasts."  Aging Cell 7(3):335-343 (18248663)
DAA951	Proportions of different T lymphocytess are altered	physiological	Homo sapiens	male/female	-1	-1		T Cell													2872: Timiras, P. S. (1994) "Physiological Basis of Aging and Geriatrics, Second Edition" 
DAA1095	Prostaglandin E Receptor 3 (subtype EP3)	molecular	Homo sapiens	male/female	0	102		Pons	PTGER3 (prostaglandin E receptor 3 (subtype EP3))		percentage	DNA Methylation	0			0.0	1.100000000000E-13				2842: Hernandez et al. (2011) "Distinct DNA methylation changes highly correlated with chronological age in the human brain."  Hum. Mol. Genet. 20(6):1164-1172 (21216877)
DAA1093	Prostaglandin E Receptor 3 (subtype EP3)	molecular	Homo sapiens	male/female	0	102		Cerebellum	PTGER3 (prostaglandin E receptor 3 (subtype EP3))		percentage	DNA Methylation	0			0.0	5.400000000000000E-10				2842: Hernandez et al. (2011) "Distinct DNA methylation changes highly correlated with chronological age in the human brain."  Hum. Mol. Genet. 20(6):1164-1172 (21216877)
DAA1096	Prostaglandin E Receptor 3 (subtype EP3)	molecular	Homo sapiens	male/female	0	102		Temporal Lobe	PTGER3 (prostaglandin E receptor 3 (subtype EP3))		percentage	DNA Methylation	0			0.0	1.6000000E-18				2842: Hernandez et al. (2011) "Distinct DNA methylation changes highly correlated with chronological age in the human brain."  Hum. Mol. Genet. 20(6):1164-1172 (21216877)
DAA1094	Prostaglandin E Receptor 3 (subtype EP3)	molecular	Homo sapiens	male/female	0	102		Frontal Lobe	PTGER3 (prostaglandin E receptor 3 (subtype EP3))		percentage	DNA Methylation	0			0.0	1.30000000000E-14				2842: Hernandez et al. (2011) "Distinct DNA methylation changes highly correlated with chronological age in the human brain."  Hum. Mol. Genet. 20(6):1164-1172 (21216877)
DAA59	prostate androgen-regulated mucin-like protein 1	molecular	Homo sapiens	male/female	26	106		Brain	PARM1 (prostate androgen-regulated mucin-like protein 1)		equation	Gene Expression Level	0	Microarray	Log	-17.0	0.0000050420952525733200000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA603	Prostate cancer	pathological	Homo sapiens	male/female	18	85		Prostate				Morbidity	0			None	None				2801: Center for Disease Control and Prevention (2006) "Mortality by underlying and multiple cause, ages 18+: US, 1981-2006 (Source: NVSS) (2006 data only)"  (http://www.cdc.gov/nchs/hdi.htm)
DAA2430	prostate transmembrane protein, androgen induced 1 decreases with age	molecular	Homo sapiens	female	6	73	Comparison of DNA methylation showed a significantly decreased methylation level of PMEPA1 in dermal fibroblasts from elderly women (aged 60-73 years old) compared to cells from younger women (aged 6-23 years old)	Dermis	PMEPA1 (prostate transmembrane protein, androgen induced 1)			DNA Methylation	None	None	None	-20.8	0.0120000000000000000000000				2751: Koch et al. (2011) "Specific age-associated DNA methylation changes in human dermal fibroblasts."  PLoS ONE 6(2):e16679 (21347436)
DAA189	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	molecular	Homo sapiens	male/female	26	106		Brain	PSMD8 (proteasome (prosome, macropain) 26S subunit, non-ATPase, 8)		equation	Gene Expression Level	0	Microarray	Log	-8.0	0.0001728851824589730000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA1813	proteasome (prosome, macropain) 28 subunit, alpha	molecular	Mus musculus	male/female	8	24		Muscle	Psme1 (proteasome (prosome, macropain) 28 subunit, alpha)		equation	Gene Expression Level	20	Microarray	Log2	-4.0	0.0007820050497664350000000				2651: Beggs et al. (2004) "Alterations in the TGFbeta signaling pathway in myogenic progenitors with age."  Aging Cell 3(6):353-361 (15569352)
DAA1541	proteasome (prosome, macropain) subunit, beta type 10	molecular	Mus musculus	male/female	6	22		Liver	Psmb10 (proteasome (prosome, macropain) subunit, beta type 10)		equation	Gene Expression Level	20	Microarray	Log2	6.0	0.0008145980722355320000000				1334: Papaconstantinou et al. (2005) "Hepatic gene and protein expression of primary components of the IGF-I axis in long lived Snell dwarf mice."  Mech. Ageing Dev. 126(6-7):692-704 (15888324)|2981: NCBI GEO Dataset (2005) "Age effect on livers of long-lived Snell dwarf mutants"  (http://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2019)
DAA173	protein inhibitor of activated STAT, 2	molecular	Homo sapiens	male/female	26	106		Brain	PIAS2 (protein inhibitor of activated STAT, 2)		equation	Gene Expression Level	0	Microarray	Log	-10.0	0.0004345498112004050000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA174	protein inhibitor of activated STAT, 3	molecular	Homo sapiens	male/female	26	106		Brain	PIAS3 (protein inhibitor of activated STAT, 3)		equation	Gene Expression Level	0	Microarray	Log	10.0	0.0002474576225597050000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA407	protein kinase, AMP-activated, alpha 2 catalytic subunit	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	PRKAA2 (protein kinase, AMP-activated, alpha 2 catalytic subunit)		equation	Gene Expression Level	0	Microarray	Log	4.0	0.0002341138025916340000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA1684	protein kinase, cAMP dependent regulatory, type II beta	molecular	Mus musculus	male/female	2	26		Lung	Prkar2b (protein kinase, cAMP dependent regulatory, type II beta)		equation	Gene Expression Level	20	Microarray	Log2	10.0	0.0002422603032577610000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA186	protein kinase C, beta	molecular	Homo sapiens	male/female	26	106		Brain	PRKCB (protein kinase C, beta)		equation	Gene Expression Level	0	Microarray	Log	-11.0	6.756624213254890000E-7				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA2446	protein kinase C binding protein 1 isoform a increases with age	molecular	Homo sapiens	male/female	21	85	Comparison of DNA methylation showed a significantly increased methylation level of ZMYND8 in bone marrow mesenchymal stem cells obtained from elderly donors (aged 53-85 years old) compared to cells from younger donors (aged 21-50 years old)	Mesenchymal Stem Cell	ZMYND8 (zinc finger, MYND-type containing 8)			DNA Methylation	None	None	None	19.9	None				2751: Koch et al. (2011) "Specific age-associated DNA methylation changes in human dermal fibroblasts."  PLoS ONE 6(2):e16679 (21347436)
DAA187	protein kinase C, gamma	molecular	Homo sapiens	male/female	26	106		Brain	PRKCG (protein kinase C, gamma)		equation	Gene Expression Level	0	Microarray	Log	-12.0	0.0002596174450620410000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA188	protein kinase C, zeta	molecular	Homo sapiens	male/female	26	106		Brain	PRKCZ (protein kinase C, zeta)		equation	Gene Expression Level	0	Microarray	Log	-12.0	0.0000028491735133797300000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA1881	protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor)	molecular	Mus musculus	male/female	5	25		Skeletal Muscle	Prkrir (protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repr)		equation	Gene Expression Level	20	Microarray	Log2	-5.0	0.0005529500422292680000000				2648: NCBI GEO Dataset (2006) "Caloric restriction effect on aged skeletal muscle"  (http://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2612)|2835: Edwards et al. (2007) "Gene expression profiling of aging reveals activation of a p53-mediated transcriptional program."  BMC Genomics 8:80 (17381838)
DAA2398	protein kinase N1 isoform 2 increases with age	molecular	Homo sapiens	female	6	73	Comparison of DNA methylation showed a significantly increased methylation level of PKN1 in dermal fibroblasts from elderly women (aged 60-73 years old) compared to cells from younger women (aged 6-23 years old)	Dermis	PKN1 (protein kinase N1)			DNA Methylation	None	None	None	17.6	None				2751: Koch et al. (2011) "Specific age-associated DNA methylation changes in human dermal fibroblasts."  PLoS ONE 6(2):e16679 (21347436)
DAA2447	protein kinase N1 isoform 2 increases with age	molecular	Homo sapiens	male/female	21	85	Comparison of DNA methylation showed a significantly increased methylation level of PKN1 in bone marrow mesenchymal stem cells obtained from elderly donors (aged 53-85 years old) compared to cells from younger donors (aged 21-50 years old)	Mesenchymal Stem Cell	PKN1 (protein kinase N1)			DNA Methylation	None	None	None	27.7	None				2751: Koch et al. (2011) "Specific age-associated DNA methylation changes in human dermal fibroblasts."  PLoS ONE 6(2):e16679 (21347436)
DAA167	protein-L-isoaspartate (D-aspartate) O-methyltransferase	molecular	Homo sapiens	male/female	26	106		Brain	PCMT1 (protein-L-isoaspartate (D-aspartate) O-methyltransferase)		equation	Gene Expression Level	0	Microarray	Log	-12.0	0.0000382806479126604000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA182	protein phosphatase 1E (PP2C domain containing)	molecular	Homo sapiens	male/female	26	106		Brain	PPM1E (protein phosphatase 1E (PP2C domain containing))		equation	Gene Expression Level	0	Microarray	Log	-17.0	0.0002167755999057680000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA1635	protein phosphatase 1, regulatory (inhibitor) subunit 14A	molecular	Mus musculus	male/female	2	26		Lung	Ppp1r14a (protein phosphatase 1, regulatory (inhibitor) subunit 14A)		equation	Gene Expression Level	20	Microarray	Log2	-6.0	0.0003831259459391820000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA183	protein phosphatase 2 (formerly 2A), regulatory subunit A, alpha isoform	molecular	Homo sapiens	male/female	26	106		Brain	PPP2R1A (protein phosphatase 2 (formerly 2A), regulatory subunit A, alpha isoform)		equation	Gene Expression Level	0	Microarray	Log	-6.0	0.0002328904062677290000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA184	protein phosphatase 5, catalytic subunit	molecular	Homo sapiens	male/female	26	106		Brain	PPP5C (protein phosphatase 5, catalytic subunit)		equation	Gene Expression Level	0	Microarray	Log	-7.0	0.0001826107667182670000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA397	protein tyrosine phosphatase, non-receptor type 3	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	PTPN3 (protein tyrosine phosphatase, non-receptor type 3)		equation	Gene Expression Level	0	Microarray	Log	-4.0	0.0001342034746685910000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA190	protein tyrosine phosphatase, receptor type, E	molecular	Homo sapiens	male/female	26	106		Brain	PTPRE (protein tyrosine phosphatase, receptor type, E)		equation	Gene Expression Level	0	Microarray	Log	-39.0	0.0000373482215608286000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA360	protein tyrosine phosphatase, receptor type, J	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	PTPRJ (protein tyrosine phosphatase, receptor type, J)		equation	Gene Expression Level	0	Microarray	Log	11.0	0.0006437840693695230000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA1424	protein tyrosine phosphatase, receptor type, O	molecular	Mus musculus	male/female	2	15		Hippocampus	Ptpro (protein tyrosine phosphatase, receptor type, O)		equation	Gene Expression Level	20	Microarray	Log2	-5.0	0.0000681824845488726000000				2706: Verbitsky et al. (2004) "Altered hippocampal transcript profile accompanies an age-related spatial memory deficit in mice."  Learn. Mem. 11(3):253-260 (15169854)
DAA1814	protein tyrosine phosphatase, receptor type, R	molecular	Mus musculus	male/female	8	24		Muscle	Ptprr (protein tyrosine phosphatase, receptor type, R)		equation	Gene Expression Level	20	Microarray	Log2	-5.0	0.0007477433035407050000000				2651: Beggs et al. (2004) "Alterations in the TGFbeta signaling pathway in myogenic progenitors with age."  Aging Cell 3(6):353-361 (15569352)
DAA668	Proteoglycan alterations in cartilage	physiological	Homo sapiens	male/female	-1	-1	Different forms of chondroitin sulfate are secreted with age. Age-associated proteoglycan alterations are associated with tissue damage, inflammation, and osteoarthritis.	Cartilage												DAA657	2735: Squires et al. (2003) "The pathobiology of focal lesion development in aging human articular cartilage and molecular matrix changes characteristic of osteoarthritis."  Arthritis Rheum. 48(5):1261-1270 (12746899)|2809: Balazs, E. A. (1977) "Intercellular matrix of connective tissue"  in Handbook of the Biology of Aging227-240
